ID,plan_name,campaign_name,start_date,end_date,goal_value,goal_type,phase,age_group,demographic,geographic,audience_name,Column 1,Column 2
100,Year-End Strategy,Winter Collection,2024-09-18,2024-10-01,322019,conversion,active,45-54,male,Paris,boomers_male,14,23001.32929
101,Year-End Strategy,Gift Ideas Promo,2024-09-01,2024-09-16,205192,awareness,pre-launch,45-54,female,Berlin,boomers_female,16,12824.49375
102,Year-End Strategy,Mid-Season Sale,2024-03-04,2024-03-11,34409,awareness,pre-launch,25-34,male,Berlin,gen_x_male,8,4301.14
103,Year-End Strategy,Summer Clearance,2024-03-10,2024-03-31,14437,awareness,pre-launch,35-44,female,Houston,gen_x_female,22,656.2227273
104,Year-End Strategy,Summer Vibes,2024-03-01,2024-03-30,5655,engagement,post-launch,45-54,male,Los Angeles,gen_z_male,30,188.508
105,Summer Push Plan,Holiday Bonanza,2024-05-04,2024-05-22,5645,awareness,pre-launch,45-54,female,Berlin,gen_x_female,19,297.0984211
106,Summer Push Plan,Back to School,2024-09-07,2024-09-14,48475,awareness,pre-launch,55+,female,Chicago,gen_z_female,8,6059.31875
107,Summer Push Plan,Mid-Season Sale,2024-04-12,2024-05-05,41810,awareness,pre-launch,25-34,female,New York,gen_z_female,24,1742.070833
108,Summer Push Plan,Autumn Trends,2024-03-09,2024-03-30,15827,engagement,post-launch,18-24,female,Phoenix,boomers_female,22,719.4218182
109,Summer Push Plan,Spring Essentials,2024-01-22,2024-01-30,9065,conversion,active,45-54,male,New York,millennials_male,9,1007.204444
110,Summer Push Plan,Winter Collection,2024-03-06,2024-03-18,14672,engagement,post-launch,45-54,female,Houston,millennials_female,13,1128.624615
111,Summer Push Plan,New Year Deals,2024-08-17,2024-09-01,14699,engagement,post-launch,55+,all,Vancouver,millennials_all,16,918.67875
112,Summer Push Plan,Festival Collection,2024-10-21,2024-11-11,22954,engagement,post-launch,18-24,male,Paris,gen_x_male,22,1043.342273
113,Holiday Marketing Plan,Summer Clearance,2024-02-23,2024-03-11,2503,awareness,pre-launch,45-54,female,Los Angeles,gen_x_female,18,139.0644444
114,Holiday Marketing Plan,Flash Sale,2024-01-20,2024-01-29,48663,engagement,post-launch,25-34,all,Chicago,gen_z_all,10,4866.284
115,Holiday Marketing Plan,Winter Collection,2024-04-28,2024-05-26,4532,engagement,post-launch,45-54,all,Chicago,gen_z_all,29,156.262069
116,Holiday Marketing Plan,Winter Wardrobe Refresh,2024-03-12,2024-03-19,23607,awareness,pre-launch,18-24,all,Phoenix,gen_z_all,8,2950.92375
117,Holiday Marketing Plan,Summer Vibes,2024-05-24,2024-06-17,13965,conversion,active,35-44,all,Houston,gen_x_all,25,558.5816
118,Holiday Marketing Plan,Summer Vibes,2024-03-01,2024-03-26,24331,awareness,pre-launch,55+,male,Berlin,millennials_male,26,935.7942308
119,Holiday Marketing Plan,Autumn Layers,2024-02-15,2024-02-26,42500,conversion,active,18-24,all,Toronto,millennials_all,12,3541.6425
120,Holiday Marketing Plan,New Arrivals,2024-09-04,2024-10-01,39223,acquisition,active,25-34,female,Vancouver,gen_x_female,28,1400.808214
121,Holiday Marketing Plan,Easter Promotions,2024-08-16,2024-09-01,40928,conversion,active,18-24,male,Toronto,gen_z_male,17,2407.502941
122,2024 Growth Plan,New Year Deals,2023-11-01,2024-11-30,10797,engagement,post-launch,55+,all,New York,gen_x_all,396,27.26444444
123,2024 Growth Plan,Cyber Monday Specials,2024-10-08,2024-11-06,49177,engagement,post-launch,18-24,all,Toronto,millennials_all,30,1639.234333
124,2024 Growth Plan,Summer Vibes,2023-12-30,2024-01-17,34177,conversion,active,55+,all,Paris,millennials_all,19,1798.774211
125,2024 Growth Plan,Springtime Essentials,2024-03-13,2024-04-08,5873,awareness,pre-launch,55+,female,Paris,gen_x_female,27,217.5055556
126,2024 Growth Plan,Seasonal Favorites,2024-04-03,2024-04-29,1722,engagement,post-launch,35-44,all,Toronto,gen_x_all,27,63.78185185
127,2024 Growth Plan,Spring Essentials,2024-08-13,2024-08-26,31562,acquisition,active,18-24,all,Toronto,boomers_all,14,2254.407143
128,2024 Growth Plan,Winter Warmers,2024-10-06,2024-11-06,42260,awareness,pre-launch,45-54,male,Berlin,gen_x_male,32,1320.637813
129,2024 Growth Plan,Winter Warmers,2024-11-14,2024-11-30,5563,awareness,pre-launch,55+,all,Paris,gen_x_all,17,327.2270588